Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	38.0380467325449	261.44011637568474	0.4428077550200161	0.4704784398866317	0.4616822429906542	0.542649727767695	0.482258064516129	0.6203319502074689	0.44307407102626	0.4745316901586643	0.4720961281708945	0.547700754975978	0.49503722084367247	0.6129032258064516
2	74.83844145014882	239.01132687926292	0.4252075830617702	0.4763978518424505	0.4731642189586115	0.3885962193988225	0.48267898383371827	0.32520746887966806	0.41735671082949305	0.4808305818767298	0.46408544726301737	0.37806011775643017	0.478806907378336	0.31233998975934457
3	111.48972453176975	228.0629115998745	0.44276821946713496	0.4713324245166803	0.4731642189586115	0.5031478217073786	0.4889867841409692	0.5181535269709544	0.45616105145014996	0.4824395748765581	0.48464619492656874	0.5199004975124378	0.505563618771166	0.5350742447516641
4	148.3823786340654	221.21208527684212	0.4911488888939637	0.5010167971593065	0.4923898531375167	0.4501012438530518	0.5088293001962066	0.40352697095435686	0.5096206157194061	0.5245153671066267	0.5102803738317757	0.4757004002287021	0.5385113268608415	0.42601126472094214
5	185.2452821098268	215.64152285456657	0.3361989234911406	0.4053799291553924	0.3965287049399199	0.46292775665399244	0.42719298245614035	0.5051867219917012	0.34933578606173654	0.42051165245490474	0.4026702269692924	0.4818160759786889	0.43993231810490696	0.5325140809011777
6	221.5591709278524	208.66414654254913	0.5153345135956628	0.5574792788613192	0.5068090787716956	0.39502129053390106	0.536	0.31275933609958506	0.5397579730817058	0.5877092800746828	0.5297730307076102	0.4258232800782524	0.5861759425493717	0.3343573988735279
7	258.0235789306462	197.9662627875805	0.43336560880755065	0.465602787316677	0.4445927903871829	0.2665726375176305	0.41629955947136565	0.19605809128630705	0.4504079689671568	0.49236929481399133	0.454739652870494	0.2855143456962911	0.450828729281768	0.20890937019969277
8	294.4308027923107	189.2026865184307	0.3674311539014882	0.4267991017493802	0.4165554072096128	0.48864966065995785	0.44520255863539443	0.5414937759336099	0.378536512051057	0.4419706771806631	0.41869158878504675	0.4928954111344049	0.45213675213675214	0.5417306707629288
9	330.89856484904885	180.1482965350151	0.46776867619554363	0.4972337069137187	0.46755674232309746	0.28118240807498196	0.46099290780141844	0.20228215767634855	0.4792881030100212	0.5140731448254601	0.4755674232309746	0.2990720913633119	0.49352179034157834	0.21454173067076293
10	367.3932050317526	170.39167633652687	0.4829656003580751	0.5144514302969254	0.47102803738317756	0.4498750347125799	0.484160191273162	0.42012448132780084	0.48964333717357916	0.5328115656586776	0.48117489986648865	0.45952712100139076	0.5030450669914738	0.4229390681003584
