Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	260.9921674132347	544.2811097577214	0.46411308418009833	0.5472760181682146	0.48405797101449277	0.3171355498721228	0.5610859728506787	0.22103386809269163	0.46054532163742695	0.5444676794950025	0.4859903381642512	0.31443298969072164	0.5648148148148148	0.21785714285714286
2	521.746361233294	409.8468181081116	0.4686005416956025	0.542584305763642	0.47020933977455714	0.2997020008514261	0.5285285285285285	0.20915032679738563	0.4652510442773601	0.5418825974261848	0.4792270531400966	0.3063063063063063	0.5483870967741935	0.2125
3	780.1088568493724	355.06333826854825	0.43612889045999	0.5090278481334466	0.44895330112721415	0.2589865742745777	0.4776357827476038	0.1776589423648247	0.4375492898913952	0.5037635537367088	0.4557165861513688	0.2696629213483146	0.4921135646687697	0.18571428571428572
4	1038.7605756372213	306.59865549393	0.47325660008707904	0.5466990537554757	0.47665056360708535	0.1943480416460089	0.5868263473053892	0.11645870469399881	0.47040935672514617	0.5459425031797108	0.4785829307568438	0.2004938271604938	0.5884057971014492	0.12083333333333333
5	1300.7680099606514	274.02185257710516	0.4529108408482943	0.5349704921756666	0.46956521739130436	0.31001256807708416	0.5255681818181818	0.21984551396316102	0.44031286549707604	0.528459838181538	0.4760064412238325	0.32010029251984956	0.5371669004207573	0.22797619047619047
6	1559.585602644831	244.1271094707772	0.4839726795547098	0.5381151689972407	0.4714975845410628	0.24965706447187927	0.5416666666666666	0.1622103386809269	0.48920258980785297	0.5456920806533487	0.4753623188405797	0.25446224256292904	0.5504950495049505	0.16547619047619047
7	1820.4959215410054	223.94196226913482	0.4426418566403674	0.5305443271170782	0.46602254428341383	0.2962648556876061	0.5185735512630015	0.2073677956030897	0.43228947368421056	0.5270542016522417	0.4689210950080515	0.2949978623343309	0.5235204855842185	0.20535714285714285
8	2080.1587815247476	205.36176420003176	0.4414493240504658	0.5291201697266608	0.4669887278582931	0.23838011965025313	0.5285714285714286	0.1538918597742127	0.43721219715956555	0.52154472133711	0.4721417069243156	0.2526219790241678	0.5399610136452242	0.16488095238095238
9	2336.844289958477	192.0504004501272	0.4826940706811642	0.5558118899106659	0.49468599033816424	0.3103296703296703	0.5962837837837838	0.20974450386215093	0.491	0.5559811794173215	0.49371980676328503	0.3105263157894737	0.59	0.21071428571428572
10	2594.9007943458855	180.9847990097478	0.4837503854629692	0.57179261013405	0.5024154589371981	0.2999546896239239	0.6316793893129771	0.19667260843731432	0.47406265664160396	0.5579104771666283	0.49790660225442834	0.29297052154195014	0.6152380952380953	0.19226190476190477
11	2852.3452409543097	170.96038414398208	0.4578493631608548	0.5374692774768033	0.477938808373591	0.2874725274725275	0.5523648648648649	0.19429590017825313	0.45846491228070174	0.535032261143781	0.4747181964573269	0.2818141787758697	0.5414551607445008	0.19047619047619047
12	3107.6817640289664	158.07099946192466	0.5010350046339125	0.5842736400749268	0.5088566827697263	0.31026684758028045	0.6496212121212122	0.20380273321449793	0.5090087719298246	0.5845810200545059	0.5101449275362319	0.31640449438202245	0.6458715596330276	0.20952380952380953
13	3363.0917055867612	152.47670048032887	0.48164402358991587	0.5619356841744534	0.48695652173913045	0.16901408450704225	0.6923076923076923	0.0962566844919786	0.485703842940685	0.5572330353466988	0.4792270531400966	0.16520392359318534	0.622568093385214	0.09523809523809523
14	3618.706601690501	144.15182985924184	0.45182903745822584	0.5211568550360826	0.4640901771336554	0.26175687666370895	0.5166374781085814	0.17528223410576352	0.44469131161236425	0.5181132662792751	0.46215780998389694	0.2623674911660777	0.5085616438356164	0.1767857142857143
15	4028.083728633821	136.2878373991698	0.4470008264994614	0.5261747789820201	0.4698872785829308	0.2131931166347992	0.5452322738386308	0.1325014854426619	0.4439344193817878	0.5222756463518499	0.46344605475040257	0.20892687559354228	0.5164319248826291	0.13095238095238096
16	4282.9697808511555	131.30393897462636	0.47390133652233424	0.5510651840584474	0.48663446054750403	0.2813345356176736	0.5831775700934579	0.18538324420677363	0.481188387635756	0.5559628086157398	0.49500805152979066	0.29432943294329433	0.6033210332103321	0.19464285714285715
17	4540.932268295437	128.04162444127724	0.4702414230833193	0.5371708683497171	0.46602254428341383	0.17594433399602386	0.5379939209726444	0.1051693404634581	0.4786386800334169	0.5491648111584361	0.48276972624798714	0.20573689416419388	0.6081871345029239	0.12380952380952381
18	4796.242329008877	121.44110561010893	0.42611938864110616	0.5028060876906887	0.4502415458937198	0.24301552106430152	0.479020979020979	0.1628045157456922	0.4399736842105263	0.5103764059419885	0.45314009661835747	0.2399283795881826	0.48375451263537905	0.1595238095238095
19	5053.578196428716	120.19154415797675	0.44782064042426417	0.5230739023316435	0.4679549114331723	0.26837909654561554	0.5269565217391304	0.1800356506238859	0.44488387635756055	0.527443087733718	0.47278582930756846	0.2829610162067455	0.5356550580431177	0.19226190476190477
20	5315.925251826644	118.8122681484092	0.44920580003727184	0.5217042527962132	0.4537842190016103	0.236036036036036	0.48789571694599626	0.1556743909685086	0.4333872180451128	0.5134563268630155	0.4515297906602254	0.23734885803851324	0.47920433996383366	0.15773809523809523
21	5574.139267813414	110.60075660515577	0.4929298361291412	0.5526213355965848	0.47246376811594204	0.24793388429752067	0.5454545454545454	0.16042780748663102	0.4956313700918964	0.5546660468668592	0.48792270531400966	0.2844284428442844	0.5830258302583026	0.1880952380952381
22	5833.616186190397	107.91469115926884	0.45426048354814796	0.5439259037281149	0.4782608695652174	0.2709270927092709	0.5584415584415584	0.17884729649435532	0.4667748538011695	0.5457660537833151	0.48083735909822867	0.29360210341805437	0.5564784053156147	0.19940476190476192
23	6090.81711628288	110.90354450512677	0.46917340861247536	0.5535172068773806	0.47987117552334946	0.23350735643094447	0.5801886792452831	0.14616755793226383	0.46946532999164575	0.5489089511452725	0.48083735909822867	0.24319248826291082	0.5755555555555556	0.15416666666666667
24	6346.367243282497	105.04198854230344	0.4619613860120189	0.5467161958225396	0.48373590982286635	0.284694332887104	0.5716845878136201	0.1895424836601307	0.45784628237259817	0.5477177002670099	0.48373590982286635	0.2928981032201147	0.565587734241908	0.1976190476190476
25	6603.570700645447	102.512628899829	0.47325576439500483	0.5439282264606786	0.4760064412238325	0.24501160092807425	0.559322033898305	0.1568627450980392	0.4697318295739348	0.5416913443334161	0.4750402576489533	0.25502742230347347	0.5492125984251969	0.16607142857142856
26	6860.314005341381	99.59496005461551	0.5106966496269053	0.5758791467328641	0.49468599033816424	0.28454172366621067	0.611764705882353	0.18538324420677363	0.502297619047619	0.5736388366670124	0.4927536231884058	0.2908599729851419	0.5970425138632163	0.19226190476190477
