Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	39.346753884106874	115.21159030497074	0.5393977180284423	0.5183257720433103	0.5124797988866941	0.43800455392258336	0.5276807980049876	0.3743807501769285	0.5241603723812768	0.49384323750689574	0.5123332724282843	0.4375131717597471	0.5070835368832438	0.38472942920681985
2	75.42506870999932	51.84716899320483	0.5829948922290517	0.5487269004738883	0.5711977015622194	0.6304549675023212	0.5602310231023102	0.7208067940552016	0.5648957185502774	0.5144803610184593	0.5647725196418784	0.6207006369426753	0.5441094360692351	0.7223869532987398
3	111.37301581352949	30.784220833331347	0.5780886249990003	0.5693189084681015	0.5464176692404381	0.6420068027210885	0.5354609929078015	0.8014861995753716	0.5605348639966875	0.5353702107911413	0.5410195505207381	0.6331775700934579	0.5224096385542168	0.8035581912527798
4	147.81882023066282	23.559192228363827	0.574233028084871	0.5676529555132794	0.497575866403304	0.0820209973753281	0.5630630630630631	0.04423213021939137	0.5592134981534538	0.5380289155795184	0.5073999634569706	0.07098552722260511	0.5049019607843137	0.03817642698295033
5	184.1013417057693	18.445781140821055	0.5658137976639501	0.5624918419807069	0.5431854911115102	0.5598615916955016	0.5477318889641164	0.5725406935598019	0.5494887771388883	0.531591869660424	0.5329800840489677	0.5448717948717949	0.5243317340644277	0.5670867309117865
6	220.5493727736175	12.353214466013014	0.5839668058100154	0.5701418958861632	0.5778416232716825	0.5712201349626117	0.5893865261573202	0.554140127388535	0.5648359478826491	0.5423001760027648	0.5634935136122785	0.546593281457582	0.5600933488914819	0.5337286879169756
7	257.13633724302053	12.321096754516475	0.6010990079876487	0.6107670838944474	0.551086370982223	0.6087636932707355	0.5457351290684624	0.6882519462137296	0.5865823199032983	0.5861868166071292	0.5355380961081674	0.5882734045999353	0.522439585730725	0.6730911786508524
8	293.1794006973505	10.85130073572509	0.6147173439487865	0.6135818269234836	0.5589872508529359	0.6279915177219023	0.5489936440677966	0.7335456475583864	0.5948054281115809	0.5802971621805668	0.5432121322857665	0.607041810751336	0.5270196506550219	0.7157153446997776
9	329.03624856844544	8.037221243139356	0.5872791038064078	0.5913405883175755	0.5744298796911474	0.5470183486238532	0.5947630922693267	0.5063694267515924	0.5594070349074055	0.5521438379084908	0.5558194774346793	0.5175630085334392	0.5570269115762495	0.48332097850259453
10	365.1355379112065	8.152376184763853	0.5272304797465542	0.5275026907981839	0.5225354641766924	0.48398990879099557	0.5358831113021058	0.44125973106864824	0.4992970435223957	0.49094704720001414	0.49716791522017173	0.44915932746196957	0.48825065274151436	0.4158636026686434
11	401.61314690485597	7.146474537265021	0.611628673798505	0.5989761591218465	0.5844855449811456	0.47788808664259924	0.6594022415940224	0.3747346072186836	0.5852326381236685	0.5609374986709789	0.5709848346427919	0.4433380749170223	0.6151315789473685	0.34655300222386953
12	437.6314547173679	8.079632810899056	0.5848397735830948	0.5757434426156305	0.5731729215298976	0.5753082008218688	0.5810176831468784	0.5697098372257607	0.5557808586941277	0.5436981538341605	0.5475972958158232	0.5424981522542498	0.5408990420044215	0.5441067457375834
13	473.46936655044556	7.444258480449207	0.5807560981965546	0.5464227502433463	0.5810738014006105	0.5664374651551756	0.596477495107632	0.5392781316348195	0.550732407722771	0.5124281685919061	0.5538096108167367	0.5289351851851852	0.5514883346741754	0.5081541882876205
14	509.5848550386727	8.79348006931832	0.5809863697312002	0.5731516951290944	0.5449811456275813	0.6004415011037527	0.5415244596131968	0.6737438075017693	0.5565804499829703	0.5396147635906956	0.5247579024301114	0.57339675250123	0.5142689026184172	0.647887323943662
15	546.0933933667839	7.280534040866769	0.6381514394615491	0.6297763087554856	0.617525588076854	0.5780507131537242	0.6566156615661566	0.5162774239207361	0.6108549542871262	0.5909037632700739	0.6000365430294171	0.5427198663045749	0.6218286261369076	0.4814677538917717
16	582.2609979584813	5.094964302435983	0.5172704941020817	0.5088492184090372	0.494343688274376	0.3585421412300683	0.5031969309462916	0.278485491861288	0.4858599296108562	0.473358017400427	0.4865704366892015	0.3274293920536141	0.46216216216216216	0.2535211267605634
17	618.6860613524914	4.07773800889845	0.5453604607391549	0.5323322660885969	0.5523433291434728	0.5022958674386104	0.576271186440678	0.4451521585279547	0.516925583849231	0.4964607345775168	0.5322492234606249	0.46353730092204526	0.5332690453230472	0.4099332839140104
18	654.6840694062412	4.906713362157461	0.6359803078491761	0.6320834410498655	0.5950799066259652	0.6450495828742326	0.5809469804366317	0.7250530785562632	0.6082344612959883	0.5959020843059497	0.5675132468481637	0.6156843643448612	0.5478185495521526	0.7027427724240178
19	690.9276324138045	4.169972829789913	0.5626253431819888	0.5444790528261274	0.5719159633686479	0.6046434494195688	0.568976279650437	0.6450813871196037	0.5343758139162142	0.5105914058695038	0.5433948474328522	0.5714285714285714	0.5317586977338015	0.6174944403261675
20	726.7121623791754	3.5081737985892687	0.5713690178099874	0.5525320554020043	0.5751481414975759	0.5653930933137399	0.5878533231474408	0.5445859872611465	0.5422331523517587	0.5146617988287476	0.5485108715512516	0.5324503311258277	0.5438732122149208	0.5214974054855448
21	763.0611605942249	4.718126170308096	0.5776053772853966	0.5840071961089235	0.5421080984018675	0.5947234583598221	0.5398153491055973	0.66206652512385	0.5599585946213078	0.5567316076946749	0.5231134661063402	0.5725515886013757	0.5129107981220657	0.647887323943662
22	798.9490942284465	7.197861916254624	0.5858634821338959	0.5824301928940901	0.5528820254982941	0.6214654910307085	0.5447761194029851	0.7232837933474876	0.5644359184981869	0.5475651673624489	0.5373652475790243	0.5996204933586338	0.5228902371759515	0.7027427724240178
23	835.0477935895324	4.838925601972733	0.5856486910385543	0.5799636339316409	0.5514455018854373	0.6166359729895641	0.5444444444444444	0.7108987968860581	0.5649151523651152	0.5495851414185883	0.5317010780193678	0.5909018355945731	0.5189234650967199	0.6860637509266123
