Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	47.86504429578781	117.27213963866234	0.49752856802569995	0.19849639221898005	0.46534351145038166	0.2963161419959812	0.201640838650866	0.5585858585858586	0.5021294126312449	0.20289985187852477	0.4569974554707379	0.29700882856766375	0.20175438596491227	0.562656015976036
2	94.27035780996084	53.56418799981475	0.4998234737431678	0.1974854588367527	0.5411704834605598	0.2736061875604254	0.20089919545669663	0.4287878787878788	0.5017784624520646	0.20165639378976083	0.539236641221374	0.27879560299506134	0.20472625175479645	0.436844732900649
3	140.33143511414528	30.979201235808432	0.5172061919385056	0.21038999305340067	0.5179643765903308	0.30209254347185377	0.21327507282563463	0.5176767676767676	0.5177221064338037	0.21217619261713708	0.5140966921119593	0.3061046511627907	0.21591142095550545	0.5257114328507239
4	186.39532993361354	24.497206122148782	0.48995055719721115	0.1948265811771699	0.5468702290076336	0.25824725091636125	0.19269020387866734	0.39141414141414144	0.4913669191942079	0.19799754603838218	0.5491094147582697	0.2680105750165235	0.2002963694739442	0.40489266100848725
5	232.43238143995404	16.151047985069454	0.4869600401722773	0.19501455724565678	0.35450381679389315	0.3099020674646355	0.19750346740638003	0.7191919191919192	0.48649845482351767	0.19711024119627085	0.3524681933842239	0.31532501076194575	0.20098778982027712	0.7314028956565152
6	278.4057471975684	12.954225360183045	0.4894035640020344	0.19266557534025516	0.41944020356234096	0.30540672187043355	0.20121951219512196	0.6333333333333333	0.48780718592272676	0.19579940923726408	0.41475826972010177	0.31055155875299756	0.2043553732049866	0.6465302046929605
7	324.62604658678174	10.473201013170183	0.48899859010757674	0.19390003401971403	0.6235114503816794	0.23653250773993809	0.2	0.28939393939393937	0.4815634512945488	0.19345489998179113	0.6161832061068703	0.218769422001243	0.18696883852691218	0.2636045931103345
8	370.3246201016009	10.37303229875397	0.4966710122255056	0.20340154391006257	0.2780661577608142	0.31922449371340816	0.19706126318284156	0.8398989898989899	0.4890262088330046	0.20128946737941186	0.27552162849872774	0.32325537174367747	0.1996476805637111	0.8487269096355466
9	416.1075237952173	7.286146761733107	0.5040868210466681	0.20099852541015617	0.4611704834605598	0.30543164523747046	0.20630981921304503	0.5878787878787879	0.49819571971625787	0.20334184149814494	0.4502798982188295	0.303725667139358	0.20472714633298575	0.5881178232651023
10	461.9781547896564	8.597787514416268	0.5157067810031482	0.20954007347131814	0.6485496183206106	0.24787627967763012	0.21792416698582917	0.2873737373737374	0.5059164321786305	0.20802772226238014	0.6494656488549618	0.24869109947643978	0.22084463386284386	0.28457314028956565
11	507.75564739853144	9.758099814411253	0.5190298459418918	0.21250575236330602	0.689058524173028	0.23299020838563894	0.23165252121817273	0.23434343434343435	0.508603592948598	0.2132975383329443	0.687735368956743	0.22250380131779018	0.22593926917138446	0.21917124313529707
