Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	436.00759341567755	1335.8007133156061	0.5381701836934728	0.546248616001727	0.4966780391452684	0.045624787197820905	0.6036036036036037	0.023708421797593773	0.5123932976712813	0.5203564267321977	0.5117851269870273	0.04571428571428571	0.6274509803921569	0.023721275018532245
2	869.3049227744341	1151.7444864585996	0.5289884126331736	0.5660272254109067	0.5175076315316933	0.15899843505477307	0.6883468834688347	0.08987968860580325	0.5122469764056125	0.5408120018592801	0.5282294902247396	0.1551047120418848	0.6620111731843575	0.08784284655300223
3	1302.5062804110348	1013.1187753267586	0.5112613100734573	0.5355659598984017	0.5009876099838391	0.08071452199801522	0.6192893401015228	0.043170559094125975	0.4851216449956257	0.5040051665703982	0.5128814178695413	0.0800552104899931	0.58	0.042994810971089696
4	1739.1203841790557	922.6454822048545	0.6110667338517732	0.6176125868484439	0.5397737475309751	0.2503656039777713	0.7217537942664418	0.15145081387119605	0.5970946780731806	0.5964984860627079	0.544125708021195	0.2292245906703738	0.6883116883116883	0.1375092661230541
5	2173.5433098599315	854.8711161017418	0.5437381752019359	0.5576843567660927	0.5219967678218711	0.2501408450704225	0.6132596685082873	0.15711252653927812	0.5283841884879692	0.5321799248500514	0.5265850539009684	0.23726817780394466	0.5765379113018598	0.14936990363232025
6	2609.202469035983	802.8975156135857	0.5958071488152691	0.6053915619396635	0.5386963548213324	0.2728559298046986	0.6817538896746818	0.17055909412597312	0.560046748008201	0.5626886274736513	0.5388269687557099	0.2505938242280285	0.6298507462686567	0.156412157153447
7	3042.356635533273	757.4866386651993	0.5769386863660417	0.5861022124618838	0.5351050457891902	0.2861869313482217	0.6479400749063671	0.18365180467091294	0.5514103874074223	0.5466009423247924	0.5322492234606249	0.2664756446991404	0.5871212121212122	0.17234988880652335
8	3519.4913074858487	715.4410075843334	0.5784775065346803	0.5931897912521651	0.5381576584665111	0.2918502202643172	0.6575682382133995	0.1875442321302194	0.559627218026032	0.5620241351909523	0.5395578293440526	0.2704111175448755	0.6177248677248677	0.1730911786508525
9	3947.9022144265473	683.8062605969608	0.5638722925679185	0.5665461711447931	0.5200215478541929	0.23519313304721032	0.6143497757847534	0.1454352441613588	0.5380799925203187	0.5400949822348974	0.5223826055179974	0.22109654350417163	0.5638297872340425	0.1375092661230541
10	4374.910031180829	649.9607393089682	0.5982359007383912	0.6053300577365205	0.5410307056922248	0.2935323383084577	0.6704545454545454	0.18789808917197454	0.5869172359906236	0.5890886151565505	0.5479627261099945	0.28164924506387923	0.6501340482573726	0.17976278724981468
11	4800.984224565327	624.523212229833	0.5783925576240002	0.5908355694988796	0.5422876638534746	0.32044788056518264	0.6497297297297298	0.21266808209483368	0.5573623438115655	0.5647469308161777	0.5492417321395944	0.3001418439716312	0.6396614268440145	0.1960711638250556
12	5227.258357055485	600.226451434195	0.6133555168028557	0.6110348660504654	0.5415694020470462	0.2968879096667585	0.6695652173913044	0.19072894550601557	0.5811012495074763	0.5785062751990867	0.5410195505207381	0.2654970760233918	0.628808864265928	0.1682727946627131
13	5654.576390109956	573.6329665035009	0.5777857244032871	0.5918264055315514	0.559166816304543	0.4065748126661833	0.6414950419527079	0.29759377211606514	0.563159363959957	0.5616168763989874	0.5567330531701078	0.3744198040226921	0.6152542372881356	0.26908821349147516
14	6081.655145641416	553.0112262889743	0.5749343564871684	0.5950413164942989	0.5485724546597235	0.3356236786469345	0.662839248434238	0.22469922151450814	0.5619859221712447	0.5715632623699456	0.5490590169925087	0.310999441652708	0.6300904977375565	0.20644922164566346
15	6508.431271277368	533.2914692694321	0.5885390825620849	0.6000020388181134	0.5392350511761537	0.2751412429378531	0.6820728291316527	0.17232837933474876	0.5871521781232678	0.5859298540237337	0.5454047140507948	0.25819916517590935	0.6600609756097561	0.16048925129725722
16	6934.938657473773	513.3573896270245	0.5448914679300769	0.5724223717375869	0.5313341713054408	0.27499999999999997	0.6395348837209303	0.1751592356687898	0.5308160198745817	0.5435744309829753	0.5318837931664535	0.24335499113998818	0.5988372093023255	0.15270570793180133
17	7361.102929793298	498.96469014137983	0.5746224256351946	0.5959819996121439	0.5501885437241875	0.3562066306861989	0.6507042253521127	0.24522292993630573	0.5500738618529575	0.5614466720667983	0.5463182897862233	0.3254550393914697	0.6093591047812817	0.22201630837657524
18	7789.169239394367	481.7403795188293	0.5826458083227486	0.595054924434014	0.543005925659903	0.31160400324587506	0.661308840413318	0.20382165605095542	0.5610307935808306	0.5638367672694948	0.5390096839027956	0.26378756930259706	0.6200274348422496	0.167531504818384
