Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	466.16276125982404	1330.7228513658047	0.5847764999531853	0.6051428795486844	0.48731642189586116	0.015384615384615387	0.6818181818181818	0.007780082987551867	0.6045495483139492	0.6299352692363152	0.48064085447263016	0.013191273465246069	0.7222222222222222	0.006656426011264721
2	891.3984479270875	1142.5153929889202	0.578381731320379	0.5951704574486332	0.4923898531375167	0.05563835072031794	0.6588235294117647	0.029045643153526972	0.5887502514446639	0.6168881275609511	0.48731642189586116	0.05325443786982249	0.72	0.027649769585253458
3	1311.5265180915594	1007.4805292710662	0.5171983936861865	0.5921594088963169	0.5022696929238986	0.06986027944111778	0.9210526315789473	0.03630705394190872	0.5235763660302831	0.6033529814430615	0.4939919893190921	0.06327236777063767	0.9142857142857143	0.03277009728622632
4	1732.968699362129	921.0030056685209	0.5162435458566741	0.5684319851540496	0.4979973297730307	0.06281156530408774	0.8076923076923077	0.032676348547717844	0.5186493364146734	0.5828253791213267	0.490520694259012	0.05824284304047384	0.8082191780821918	0.030209933435739886
5	2159.2105774581432	853.636342421174	0.52415351098546	0.560277593116043	0.5036048064085448	0.09272816007808686	0.7851239669421488	0.049273858921161824	0.5220194092421915	0.5836774474923068	0.503871829105474	0.10844529750479848	0.8625954198473282	0.057859703020993344
6	2581.350067295134	797.2567585296929	0.6018932534363104	0.644384372348449	0.515086782376502	0.11673151750972763	0.9375	0.06224066390041494	0.5969090593226538	0.6514781425028702	0.5057409879839786	0.10622887493964268	0.9322033898305084	0.05632360471070148
7	3000.308630745858	744.9468029215932	0.5533266099105497	0.6036101493574717	0.503871829105474	0.07377866400797609	0.9487179487179487	0.038381742738589214	0.5494083049886621	0.6157259049730832	0.4993324432576769	0.07862407862407862	0.975609756097561	0.0409626216077829
8	3422.6098752059042	700.307216014713	0.5281761464453969	0.5801028727936239	0.5174899866488651	0.1358201817312291	0.8711656441717791	0.07365145228215768	0.5315828784470777	0.6019811661547753	0.5156208277703604	0.14353163361661947	0.9212121212121213	0.07782898105478751
9	3846.7353031747043	667.1757926121354	0.5320192305496497	0.5821934415544685	0.515086782376502	0.12608277189605388	0.8733333333333333	0.0679460580912863	0.5293728798643114	0.6027852258477868	0.5156208277703604	0.14433962264150943	0.9161676646706587	0.07834101382488479
10	4265.76243583858	635.487105961889	0.5169115111544496	0.587881745758414	0.5156208277703604	0.12197483059051308	0.9130434782608695	0.06535269709543569	0.5090305779569892	0.5931186281215484	0.5116154873164219	0.1244614648157013	0.9558823529411765	0.06656426011264721
11	4685.034881647676	606.1342429257929	0.5130767052526051	0.5862069520541175	0.5033377837116155	0.07370517928286853	0.925	0.038381742738589214	0.5171083806506473	0.6061868276556202	0.5009345794392523	0.08516886930983847	0.9666666666666667	0.0445468509984639
12	5110.847414262593	583.618846623227	0.5310055789375128	0.5896768362227255	0.5057409879839786	0.08862629246676515	0.8737864077669902	0.046680497925311204	0.5193189506985589	0.5973802040502247	0.5070761014686248	0.10993249758919961	0.9421487603305785	0.05837173579109063
