Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	425.52420984208584	1330.1271460428834	0.5803754012366571	0.6270491466996939	0.4608695652173913	0.024475524475524476	0.6363636363636364	0.012477718360071301	0.5836424394319131	0.6178917138891697	0.4605475040257649	0.02104032729398013	0.5806451612903226	0.010714285714285714
2	848.8362414464355	1139.9208646565676	0.5027761690705349	0.5820360339000765	0.46924315619967794	0.05069124423963134	0.8301886792452831	0.026143790849673203	0.4845371762740184	0.5663103038450149	0.4682769726247987	0.042898550724637684	0.8222222222222222	0.022023809523809525
3	1270.0218231640756	1003.9460622146726	0.5272554702313947	0.5985884440157637	0.463768115942029	0.02231356429829712	0.95	0.0112893642305407	0.5232038429406851	0.5910192139796981	0.4618357487922705	0.016480282519128902	0.7368421052631579	0.008333333333333333
4	1692.0464467816055	916.7258951961994	0.4961976010623318	0.5898041658994277	0.4859903381642512	0.11627906976744186	0.8536585365853658	0.062388591800356503	0.4864448621553885	0.5755044158918439	0.4824476650563607	0.10173281162660705	0.8348623853211009	0.05416666666666667
5	2115.2866310216486	845.3672685623169	0.5117009425770904	0.618159039171965	0.4785829307568438	0.07854297097324986	0.9324324324324325	0.040998217468805706	0.49701169590643274	0.6035684265719727	0.4731078904991948	0.05868814729574223	0.8793103448275862	0.030357142857142857
6	2540.2469043321908	797.118464557454	0.4561217787204384	0.5562508547557589	0.4904991948470209	0.13928182807399347	0.8258064516129032	0.07605466428995841	0.4511683375104427	0.5431707371108232	0.48148148148148145	0.12309368191721132	0.7243589743589743	0.06726190476190476
7	2965.1925750933588	748.0465258099139	0.5152338308208251	0.6010291978879221	0.49178743961352656	0.14610389610389612	0.8181818181818182	0.08021390374331551	0.5103366750208855	0.5842821219941738	0.48438003220611914	0.12177729018102029	0.7762237762237763	0.06607142857142857
8	3393.1579338908195	712.7096981182694	0.4633847785374219	0.551113031509677	0.48051529790660225	0.10339077265147303	0.8017241379310345	0.05525846702317291	0.45515413533834587	0.5334971355726571	0.47020933977455714	0.0742824985931345	0.6804123711340206	0.039285714285714285
9	3833.8582182377577	672.8256845772266	0.4557384049813933	0.5573816797886353	0.4924315619967794	0.15811965811965814	0.783068783068783	0.08793820558526441	0.4356979949874687	0.5349649315847824	0.4885668276972625	0.14623655913978495	0.7555555555555555	0.08095238095238096
10	4270.642177250236	639.4761235583574	0.5099008618492361	0.6119665053288024	0.49500805152979066	0.14596949891067537	0.8758169934640523	0.0796197266785502	0.5099126984126985	0.5975863020401421	0.48695652173913045	0.11745152354570637	0.848	0.0630952380952381
