Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	37.93052513152361	101.31922566890717	0.5280106938874711	0.5003712093034073	0.5128389297899084	0.6534678758462128	0.5112932240655607	0.9051663128096249	0.508561163090444	0.4704900373461328	0.49990864242645716	0.6421754477709505	0.49606140173702284	0.910303928836175
2	74.32477168366313	63.86040225625038	0.5240678904985966	0.4952565258909294	0.5334889567247262	0.6255405015854713	0.5277237354085603	0.7678697806086341	0.510473757671682	0.4712325705714323	0.5194591631646264	0.610023724792408	0.5084033613445378	0.762416604892513
3	110.1994423083961	40.331228425726295	0.5222604202062046	0.4932597521864329	0.5184054587897289	0.6297625621203754	0.5162969669533726	0.8071479122434536	0.5102732754993689	0.47188318103691906	0.5090443997807418	0.619459000141623	0.5012606005042402	0.8106004447739066
4	145.7734894566238	28.781318495050073	0.5019856888498782	0.4838875539858353	0.5173280660800862	0.6320832192718314	0.5154017857142857	0.8170559094125973	0.49142180727799706	0.46198191457683263	0.5094098300749133	0.625575233579696	0.5014531634249945	0.8313565604151223
5	181.1964957676828	21.406758978031576	0.4605475844193507	0.46239722592089283	0.508888489854552	0.5628895636886686	0.5132614398134655	0.6231422505307855	0.44504404330201214	0.44230486266238356	0.4926000365430294	0.5463159614442085	0.48846041484078295	0.6197183098591549
6	216.74345540627837	18.183649415150285	0.5582738561954911	0.5274299331263385	0.5241515532411564	0.6407266811279827	0.5193406593406593	0.8361641896673744	0.5475193503362517	0.5061259393165579	0.5216517449296547	0.6370945383975604	0.5088573959255979	0.8517420311341735
7	252.5737200602889	15.530659685377032	0.5313873647106357	0.5076293258240177	0.5295385167893697	0.5711947626841243	0.5313641900121803	0.6174805378627035	0.5208023293864658	0.4865172254251444	0.5189110177233692	0.5593305439330545	0.5099176075678975	0.6193476649369903
8	288.7560116164386	12.853795004775748	0.5439754774360986	0.5094429950846858	0.5561142036272221	0.6395450568678914	0.5438988095238095	0.7760084925690022	0.530487448159798	0.4848894849967008	0.5437602777270236	0.6278133850052168	0.525056095736724	0.7805782060785768
9	324.63093718886375	9.114666568115354	0.5343771535548636	0.5008152238488564	0.5562937690788292	0.6053346110844913	0.5516739446870451	0.6705590941259731	0.5272365916695049	0.48210890185332833	0.5444911383153663	0.5941722285528244	0.5297532656023222	0.6764269829503335
10	360.4243054613471	10.996180763351731	0.4842495560339011	0.46953490332562176	0.526845035015263	0.5912827671785327	0.5263739298536316	0.6744515215852795	0.4683978789760851	0.445302483748913	0.5187283025762836	0.5855884203901826	0.5087479496992893	0.689770200148258
11	395.8639512658119	8.10107141197659	0.535232383324574	0.5063712808702432	0.5410307056922248	0.6094132029339853	0.5363098440021516	0.7055909412597311	0.52018545602682	0.4821168143032983	0.5284122053718253	0.5964034401876466	0.5158236407898296	0.706819866567828
12	432.5942895002663	6.372739249636652	0.4801505937135484	0.46630420318056565	0.5189441551445502	0.6063188831741367	0.5184719778838904	0.7300070771408351	0.46210853551846875	0.44055301364385063	0.5031975150739997	0.5925370897647234	0.49735849056603776	0.7327650111193477
13	468.4607938453555	5.662349244666984	0.5798791958118188	0.5363841850556205	0.5756868378523972	0.5755343991377762	0.5844582269244801	0.5668789808917197	0.568656529027174	0.5162706776009741	0.5664169559656496	0.562902928716154	0.5595020139143171	0.5663454410674573
14	504.98894676193595	8.430973223861656	0.5429657012806709	0.5037368682755153	0.5440833183695457	0.6586906842317516	0.5311077389984825	0.8669497523000708	0.5286403007900413	0.4838702094469005	0.5306047871368537	0.6471638511193517	0.5140737508182414	0.8732394366197183
15	540.7707729488611	5.601890083446051	0.5444465988055809	0.507374535055675	0.5374393966600826	0.5614572693224379	0.541010498687664	0.583510261854211	0.5277006658252025	0.4833359758276952	0.5145258541933126	0.5384749001215912	0.5067015364498202	0.5744996293550778
16	576.2738219350576	7.449892473465297	0.5527121858664106	0.5270074885443616	0.5369007003052613	0.6162773396815951	0.5317073170731708	0.7328379334748761	0.5388130680717782	0.5071456893952146	0.5183628722821122	0.5993920972644377	0.5079855744461618	0.7309117865085248
17	611.7105578221381	3.6038205928198295	0.5218655400002942	0.48734952510419766	0.537978093014904	0.652250304095148	0.5276623660616663	0.8538570417551309	0.5033264546978409	0.46303357685574675	0.5220171752238261	0.6383743433784904	0.5090388007054674	0.8558191252779836
18	647.0959786400199	4.410439317594864	0.5475081136852501	0.5121786219004706	0.5360028730472257	0.6564743419303377	0.5257666098807495	0.8736730360934183	0.5403031274417487	0.4953141872460198	0.5234788964005116	0.6458446496469309	0.5096442348906987	0.8813936249073387
19	682.4155873097479	6.995140475046355	0.5249542746524061	0.5161015314581698	0.5212785060154427	0.5235882773409578	0.5288808664259927	0.5184005661712668	0.5056319328965734	0.49157843430467923	0.498812351543943	0.49344413665743303	0.4917188075082812	0.4951816160118606
20	718.0152189023793	5.8055463557248	0.5552115672938567	0.5250030623751882	0.5449811456275813	0.6405673758865248	0.5345643939393939	0.7990092002830856	0.5416335757551473	0.5005373400299138	0.530970217431025	0.6305943301194418	0.5154081392613503	0.8120830244625649
21	753.4277055561543	3.456272048133542	0.5156379527738237	0.4829593996901797	0.5674268270784701	0.642316258351893	0.5533384497313891	0.7653927813163482	0.5001740361562452	0.45955274263501683	0.5490590169925087	0.626060606060606	0.5294720656073808	0.765752409191994
22	788.9793550148606	2.699294136473327	0.4437053824713437	0.44925301435486853	0.5128389297899084	0.610592794603129	0.5136440473315624	0.7526539278131635	0.42847080586887853	0.426810772630609	0.501735793897314	0.6038064797326747	0.4965352449223417	0.7702001482579689
23	824.4187133014202	3.3694249697728083	0.5055553491496981	0.48191432935963086	0.5155324115640151	0.5811859670909656	0.5176991150442478	0.6624203821656051	0.4865956764770701	0.4573620190241084	0.4953407637493148	0.5631129389433723	0.4911699779249448	0.6597479614529281
24	860.1961648873985	4.471694406980532	0.5675829538690649	0.5305581793824472	0.5584485544981146	0.6173953633110316	0.5509580672035546	0.7020523708421798	0.5484191827112509	0.502963891815049	0.5346245203727389	0.5975667562016116	0.5207931699256403	0.700889547813195
25	895.9675901010633	5.936148679953476	0.5584302731342909	0.5236798040030524	0.5665289998204346	0.6425821735267989	0.5524439918533605	0.7678697806086341	0.5418110178377042	0.4981239808090336	0.5468664352274804	0.626280892103677	0.5276790248857288	0.7702001482579689
26	931.6014491766691	3.890994775458239	0.5749410001757029	0.5436198237582082	0.5593463817561501	0.6496287835522558	0.5445189085686931	0.8050247699929228	0.5706080580209565	0.5250177976942478	0.5477800109629088	0.6393705376657438	0.5267707082833133	0.8131949592290586
27	967.0066660568118	4.067177504999563	0.5388059137342199	0.5134414521306683	0.5471359310468665	0.6526170798898072	0.5342805593143888	0.8382873319179052	0.5242330321425948	0.48760328471938624	0.5284122053718253	0.6376526744349291	0.5132203389830509	0.8417346182357301
28	1002.3132774345577	3.0309264142342727	0.5280915146810037	0.5024958568725452	0.5345663494343689	0.5846153846153846	0.5342706502636204	0.6454352441613588	0.508726784605213	0.4731842768973487	0.5121505572811986	0.56286836935167	0.5041055718475074	0.6371386212008896
29	1038.1848996840417	2.7054926294295	0.5501327576673971	0.5343200616961373	0.5509068055306159	0.653840830449827	0.5369402136849284	0.8358103326256192	0.5330058969273203	0.5008167929586889	0.5320665083135392	0.6375088464260439	0.515685825509503	0.8346923647146034
30	1073.8526780605316	3.874928453216853	0.5726122905915824	0.5370647741256087	0.5571915963368648	0.6449755254822921	0.5436893203883495	0.7926397735314933	0.5566730778220772	0.5106824245793963	0.547049150374566	0.6346352247605012	0.5267922681673599	0.7979985174203114
31	1109.5455593466759	3.0963570326493937	0.5691456397149639	0.5397460480379351	0.5600646435625786	0.6494992846924177	0.5451488952929875	0.8032554847841472	0.5478866561149733	0.5083234822410941	0.5386442536086241	0.6320850939822236	0.5207683073229292	0.8039288361749444
32	1145.3838088326156	3.7910981340683065	0.5585376041801314	0.5161451748933511	0.5641946489495421	0.663430869504923	0.5454960091220068	0.8464260438782731	0.544235770240218	0.491163312631606	0.5433948474328522	0.6466845751449173	0.5227428571428572	0.8476649369903633
33	1180.9205608144403	1.6267762003662938	0.5529480690603038	0.5224899140124052	0.5564733345304363	0.6241631162507608	0.5475173518419648	0.7257607926397736	0.5386971330114398	0.4950731667064782	0.5432121322857665	0.6118012422360248	0.5264564404061999	0.7301704966641956
34	1216.407960448414	3.232304034769186	0.5325660711599673	0.49222047063432717	0.5699407434009697	0.6480529022777369	0.5541593365167128	0.7802547770700637	0.5093594855047783	0.463356870253087	0.5474145806687375	0.6284685765711715	0.527840765936004	0.7765011119347665
35	1252.2933556251228	2.232971503319277	0.5358250261425919	0.49492795280405666	0.5746094451427546	0.6587930289500217	0.5555015788195288	0.8092710544939844	0.5154725221886082	0.4679320823547227	0.5505207381691942	0.6397188049209139	0.5288135593220339	0.809488510007413
36	1288.4881486296654	1.8708743424685963	0.5044637846732815	0.4845511673301244	0.5318728676602622	0.6615604310009088	0.5224523272503588	0.9016277423920736	0.4921148798910104	0.4644825999454434	0.5136122784578842	0.6461047593725073	0.503731343283582	0.9006671608598962
37	1324.630637537688	6.913956614647759	0.5475596506477661	0.509166575718293	0.5561142036272221	0.644521138912856	0.5428779069767442	0.7929936305732485	0.5369632493872671	0.48832507047362955	0.544673853462452	0.6329896907216495	0.5251710654936461	0.7965159377316531
38	1360.8492667488754	3.5659297521160624	0.5546883929472151	0.5215826105227032	0.5643742144011492	0.6272280270436387	0.5543183052688756	0.7222222222222222	0.5405819459192328	0.4978902869706264	0.5532614653754796	0.6140489344909235	0.5347814132526808	0.7209043736100815
39	1396.822835315019	1.7623645912208303	0.5804620343516108	0.5650128994937973	0.5609624708206141	0.6532406750815486	0.5450887573964497	0.8149327671620665	0.5677938279272601	0.5450331129169389	0.54942444728668	0.6409435061153174	0.5278177458033573	0.8157894736842105
